Growth_Firm;question_2_row_1_transformed;question_2_row_2_transformed;question_3_row_1;question_3_row_2;question_3_row_3;question_3_row_4;question_3_row_5;question_3_row_6;question_3_row_7;question_3_row_8;question_3_row_9;question_3_row_10;question_3_row_11;question_3_row_12;question_3_row_13;question_3_row_14;question_3_row_15;question_3_row_16;question_4_row_1;question_4_row_2;question_4_row_3;question_4_row_4;question_5_row_1;question_5_row_2;question_5_row_3;question_5_row_4;question_5_row_5;question_5_row_6;question_5_row_7;question_5_row_8;question_5_row_9;question_5_row_10;question_6_row_1;question_6_row_2;question_7_row_1
0;35,1351351351351;50,7509391319659;4;5;5;4;3;3;4;4;4;2;2;2;2;4;4;3;4;4;4;4;1;1;2;4;2;4;2;3;2;5;4;5;1
0;23,0180426462548;51,182200341316;5;4;4;4;4;4;4;5;5;4;2;4;2;4;4;3;4;3;3;4;4;4;2;3;4;3;3;3;4;3;5;4;1
0;86,6404715127701;62,9326385264931;3;4;4;4;4;3;4;5;3;3;3;5;3;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4; ; ;5;3;1
0;17,6470588235294;39,1304347826087;3;4;5;4;4;4;5;5;3;3;4;5;4;4;5;3;4;3;3;3;3;2;3;3;3;4;4;4;3;3;3;3;1
0;60;32,8021248339973;4;4;4;4;3;4;4;4;5;5;2;3;1;2;4;2;4;2;2;2;2;2;2;4;2;4;2;3;3;4;5;2;2
0;-1,2954966070327;17,7106351558863;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;4;4;4;4;4;5;4;4;5;5;5;5;5;5;5;3;5;1
0;12,2754491017964;64,6231446971593;4;5;5;5;4;5;3;4;5;4;3;5;3;4;3;2;4;4;4;3;4;5;3;4;5;5;5;5; ; ;5;4;2
0;66,6666666666667;68,6814731515322;3;3;4;4;3;3;3;3;3;3;3;3;3;3;4;3;3;3;4;4;4;4;2;3;2;4;3;2; ; ;5;3;2
0;9,375;34,453781512605;5;5;5;4;3;4;4;3;5;5;3;4;4;3;4;3;4;4;3;5;5;5;4;3;4;3;4;3;4;3;4;4;2
0;506,060606060606;689,265982636148;4;5;5;5;5;5;5;4;4;4;3;3;3;3;4;4;4;5;4;3;3;4;5;4;5;5;4;4;4;4;5;5;1
0;26,984126984127;29,9241243114022;4;2;4;4;4;4;4;2;4;4;2;2;2;4;4;2;4;4;4;4;4;2;4;2;4;5;5;5;4;4;2;4;1
